,‰·“x,Ž¼“x
2016/1/23 3:28,23.268501,32.44
2016/1/23 3:29,23.293503,32.405006
2016/1/23 3:30,23.294504,32.340004
2016/1/23 3:31,23.27,32.345005
2016/1/23 3:32,23.274502,32.370003
2016/1/23 3:33,23.285263,32.340004
2016/1/23 3:34,23.252998,32.385002
2016/1/23 3:35,23.24,32.44
2016/1/23 3:36,23.252502,32.44
2016/1/23 3:37,23.249998,32.435
2016/1/23 3:38,23.260529,32.424213
2016/1/23 3:39,23.271002,32.365005
2016/1/23 3:40,23.286503,32.340004
2016/1/23 3:41,23.27,32.340004
2016/1/23 3:42,23.276001,32.340004
2016/1/23 3:43,23.302504,32.340004
2016/1/23 3:44,23.282635,32.340004
2016/1/23 3:45,23.252499,32.340004
2016/1/23 3:46,23.240498,32.345005
2016/1/23 3:47,23.2635,32.345005
2016/1/23 3:48,23.241,32.345005
2016/1/23 3:49,23.22579,32.43474
2016/1/23 3:50,23.239498,32.36
2016/1/23 3:51,23.244,32.415005
2016/1/23 3:52,23.220497,32.4
2016/1/23 3:53,23.217,32.44
2016/1/23 3:54,23.217892,32.44
2016/1/23 3:55,23.223,32.44
2016/1/23 3:56,23.213997,32.425
2016/1/23 3:57,23.192999,32.44
2016/1/23 3:58,23.1905,32.44
2016/1/23 3:59,23.203499,32.44
2016/1/23 4:00,23.205786,32.44
2016/1/23 4:01,23.181997,32.44
2016/1/23 4:02,23.1895,32.44
2016/1/23 4:03,23.157,32.44
2016/1/23 4:04,23.1545,32.44
2016/1/23 4:05,23.15947,32.44
2016/1/23 4:06,23.1675,32.44
2016/1/23 4:07,23.164,32.439503
2016/1/23 4:08,23.179499,32.44
2016/1/23 4:09,23.149498,32.439003
2016/1/23 4:10,23.1775,32.44
2016/1/23 4:11,23.196314,32.429474
2016/1/23 4:12,23.160002,32.435
2016/1/23 4:13,23.1545,32.44
2016/1/23 4:14,23.136501,32.437996
2016/1/23 4:15,23.135502,32.437
2016/1/23 4:16,23.13684,32.437897
2016/1/23 4:17,23.143497,32.4385
2016/1/23 4:18,23.134998,32.437
2016/1/23 4:19,23.122,32.433
2016/1/23 4:20,23.122501,32.446995
2016/1/23 4:21,23.154001,32.44
2016/1/23 4:22,23.15526,32.44
2016/1/23 4:23,23.157999,32.44
2016/1/23 4:24,23.1635,32.44
2016/1/23 4:25,23.190998,32.410007
2016/1/23 4:26,23.178999,32.355003
2016/1/23 4:27,23.177368,32.424213
2016/1/23 4:28,23.180498,32.355003
2016/1/23 4:29,23.204496,32.340004
2016/1/23 4:30,23.204498,32.340004
2016/1/23 4:31,23.168,32.340004
2016/1/23 4:32,23.172497,32.365005
2016/1/23 4:33,23.183155,32.340004
2016/1/23 4:34,23.182999,32.340004
2016/1/23 4:35,23.1915,32.340004
2016/1/23 4:36,23.183,32.340004
2016/1/23 4:37,23.171497,32.340004
2016/1/23 4:38,23.16158,32.340004
2016/1/23 4:39,23.173,32.340004
2016/1/23 4:40,23.184498,32.340004
2016/1/23 4:41,23.187496,32.340004
2016/1/23 4:42,23.167002,32.339504
2016/1/23 4:43,23.132105,32.383682
2016/1/23 4:44,23.147497,32.374504
2016/1/23 4:45,23.127499,32.3845
2016/1/23 4:46,23.120998,32.4325
2016/1/23 4:47,23.1255,32.42
2016/1/23 4:48,23.116,32.431496
2016/1/23 4:49,23.124212,32.433685
2016/1/23 4:50,23.113504,32.422497
2016/1/23 4:51,23.120502,32.4095
2016/1/23 4:52,23.112999,32.426495
2016/1/23 4:53,23.106503,32.411995
2016/1/23 4:54,23.085789,32.429996
2016/1/23 4:55,23.074001,32.429996
2016/1/23 4:56,23.068502,32.429996
2016/1/23 4:57,23.069,32.429996
2016/1/23 4:58,23.057001,32.429996
2016/1/23 4:59,23.063501,32.429996
2016/1/23 5:00,23.042107,32.429996
2016/1/23 5:01,23.052502,32.429996
2016/1/23 5:02,23.068003,32.429996
2016/1/23 5:03,23.0875,32.429996
2016/1/23 5:04,23.0575,32.429996
2016/1/23 5:05,23.044739,32.429996
2016/1/23 5:06,23.050503,32.429996
2016/1/23 5:07,23.039501,32.429996
2016/1/23 5:08,23.063,32.429996
2016/1/23 5:09,23.0575,32.429996
2016/1/23 5:10,23.052,32.429996
2016/1/23 5:11,23.02,32.429996
2016/1/23 5:12,23.022,32.429996
2016/1/23 5:13,23.035,32.429996
2016/1/23 5:14,23.034504,32.429996
2016/1/23 5:15,23.0265,32.429996
2016/1/23 5:16,23.00842,32.429996
2016/1/23 5:17,23.0195,32.429996
2016/1/23 5:18,23.046001,32.429996
2016/1/23 5:19,23.052002,32.370003
2016/1/23 5:20,23.034502,32.39
2016/1/23 5:21,23.044739,32.3458
2016/1/23 5:22,23.036001,32.33001
2016/1/23 5:23,23.029001,32.350006
2016/1/23 5:24,23.032501,32.34501
2016/1/23 5:25,23.016,32.375
2016/1/23 5:26,23.022501,32.429996
2016/1/23 5:27,23.066317,32.356327
2016/1/23 5:28,23.059002,32.33001
2016/1/23 5:29,23.036503,32.33001
2016/1/23 5:30,23.030502,32.33001
2016/1/23 5:31,23.0015,32.409996
2016/1/23 5:32,23.040003,32.36685
2016/1/23 5:33,23.0285,32.33001
2016/1/23 5:34,23.022999,32.33001
2016/1/23 5:35,23.030003,32.33001
2016/1/23 5:36,23.051502,32.33001
2016/1/23 5:37,23.042002,32.33001
2016/1/23 5:38,23.036844,32.33001
2016/1/23 5:39,23.0475,32.33001
2016/1/23 5:40,23.022001,32.33001
2016/1/23 5:41,22.996998,32.34501
2016/1/23 5:42,22.979498,32.414997
2016/1/23 5:43,22.99263,32.429996
2016/1/23 5:44,22.994999,32.414997
2016/1/23 5:45,23.002996,32.33501
2016/1/23 5:46,22.982502,32.38
2016/1/23 5:47,22.996502,32.36001
2016/1/23 5:48,23.005001,32.33001
2016/1/23 5:49,23.000525,32.33001
2016/1/23 5:50,23.002,32.33001
2016/1/23 5:51,22.992998,32.33001
2016/1/23 5:52,23.001501,32.33001
2016/1/23 5:53,22.998999,32.33001
2016/1/23 5:54,22.999998,32.33001
2016/1/23 5:55,22.994,32.33001
2016/1/23 5:56,22.998,32.33001
2016/1/23 5:57,22.967001,32.34501
2016/1/23 5:58,22.977,32.414997
2016/1/23 5:59,22.940998,32.429996
2016/1/23 6:00,22.999474,32.377373
2016/1/23 6:01,22.975998,32.33501
2016/1/23 6:02,22.982998,32.36001
2016/1/23 6:03,22.98,32.35001
2016/1/23 6:04,22.9885,32.33001
2016/1/23 6:05,22.969473,32.340534
2016/1/23 6:06,22.967999,32.36001
2016/1/23 6:07,22.962,32.405
2016/1/23 6:08,22.99,32.34501
2016/1/23 6:09,22.991497,32.33001
2016/1/23 6:10,22.986841,32.33001
2016/1/23 6:11,23.004501,32.33001
2016/1/23 6:12,22.976997,32.33001
2016/1/23 6:13,22.980999,32.33001
2016/1/23 6:14,22.990498,32.33001
2016/1/23 6:15,22.963497,32.33001
2016/1/23 6:16,22.96842,32.33001
2016/1/23 6:17,22.9625,32.33001
2016/1/23 6:18,22.927,32.414997
2016/1/23 6:19,22.931004,32.429996
2016/1/23 6:20,22.942997,32.429996
2016/1/23 6:21,22.969997,32.356327
2016/1/23 6:22,22.956997,32.33001
2016/1/23 6:23,22.961,32.33001
2016/1/23 6:24,22.9845,32.33001
2016/1/23 6:25,22.971998,32.33001
2016/1/23 6:26,22.9585,32.33001
2016/1/23 6:27,22.938948,32.340534
2016/1/23 6:28,22.941498,32.385002
2016/1/23 6:29,22.935503,32.35001
2016/1/23 6:30,22.942001,32.34501
2016/1/23 6:31,22.966496,32.33001
2016/1/23 6:32,22.986841,32.33001
2016/1/23 6:33,22.974998,32.33001
2016/1/23 6:34,22.977499,32.33001
2016/1/23 6:35,22.966997,32.33001
2016/1/23 6:36,22.949503,32.33001
2016/1/23 6:37,22.911003,32.33001
2016/1/23 6:38,22.933155,32.366848
2016/1/23 6:39,22.9515,32.33001
2016/1/23 6:40,22.934,32.33001
2016/1/23 6:41,22.920002,32.33001
2016/1/23 6:42,22.911503,32.34501
2016/1/23 6:43,22.948946,32.33001
2016/1/23 6:44,22.957998,32.33001
2016/1/23 6:45,22.972998,32.32501
2016/1/23 6:46,22.992,32.245
2016/1/23 6:47,22.980999,32.23
2016/1/23 6:48,22.909472,32.293167
2016/1/23 6:49,22.8885,32.33001
2016/1/23 6:50,22.892004,32.33001
2016/1/23 6:51,22.885504,32.33001
2016/1/23 6:52,22.914503,32.33001
2016/1/23 6:53,22.9295,32.33001
2016/1/23 6:54,22.90895,32.33001
2016/1/23 6:55,22.877502,32.33001
2016/1/23 6:56,22.8655,32.33001
2016/1/23 6:57,22.885004,32.33001
2016/1/23 6:58,22.872501,32.33001
2016/1/23 6:59,22.891582,32.33001
2016/1/23 7:00,22.8905,32.33001
2016/1/23 7:01,22.890003,32.33001
2016/1/23 7:02,22.879002,32.33001
2016/1/23 7:03,22.884502,32.33001
